Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"URL: http://www.newsisfree.com/click/-5,8304313,1717/
Date: 2002-09-27T08:51:29+01:00[IMG: http://www.newsisfree.com/Images/fark/cbc.ca.gif ([CBC])]",Safe Email,no,no,"Content resembles a legitimate 2002-era news feed link from an RSS aggregator (newsisfree.com) to CBC content, with no requests for sensitive info or malicious indicators.",95
"begin forwarded text Date: Wed, 25 Sep 2002 13:57:15 -0400 To: Digital Bearer Settlement List From: ""R. A. Hettinga"" Subject: California needs intelligent energy deregulation Sender: http://www.siliconvalley.com/mld/siliconvalley/4144696.htm?template=contentModules/printstory.jspPosted on Tue, Sep. 24, 2002 Dan Gillmor: State needs intelligent energy deregulationBy Dan Gillmor Mercury News Technology ColumnistThe facts were trade and government secrets at the time. But the energy industry failed",Safe Email,no,no,"Content is a legitimate 2002 forwarded news article on energy deregulation from a credible source (Mercury News), with no requests for personal info, suspicious links, or deceptive elements.",98
"re : fyi - wellhead portfolio who is considered to be on greg sharp ' s orig team ? if they have deals in the wellhead portfolio , do we need to move them out ? just double checking . dave - - - - - - - - - - - - - - - - - - - - - - forwarded by david baumbach / hou / ect on 04 / 11 / 2000 10 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : brenda f herod 04 / 11 / 2000 10 : 09 am to : david baumbach / hou / ect @ ect cc : subject : re : fyi - wellh",Safe Email,no,no,"Email appears to be a legitimate internal business discussion from Enron (2000) about portfolio teams and deals, with no requests for sensitive info, links, or urgency.",98
"rmmla / ads * * * * * * * * papers solicited for the 1998 rmmla conference * * * * * * * * * conjoint meeting : american dialect society : session chair , simonie hodges georgetown university 2525 farmcrest dr . # 328 herndon , va 20171 usa this session showcases papers on various aspects of american dialects . examples of previous paper topics include : dialects of utah , the use of formal and informal pronouns "" you "" in spanish speaking cities , jamaican english in historical plays , and swee",Safe Email,no,no,"Content is a benign academic call for papers on dialects for a 1998 conference, with no requests for personal info, links, or suspicious elements.",98
"re : testing ir & fx var nick and winston , i understand that ir & fx var numbers are calculated every day in risktrac . this results are overwritten everyday in the database table by the official numbers calculated with the old version of the code . for the consistent testing we need historical results for each ir and fx sub - portfolio . can we store the numbers every day ? tanya",Safe Email,no,no,"Email appears to be a legitimate internal discussion about financial risk calculations and database storage, with no requests for sensitive info, links, or suspicious elements.",98
"The academic discipline of Software Engineering was launched at a conference
sponsored by NATO, at Garmisch, Germany, in October, 1968. Intriguingly, the
term Software Engineering was chosen to be deliberately provocative -- why
can't software be developed with the same rigor used by other engineering
disciplines?The proceedings of this conference are now available online, at:
http://www.cs.ncl.ac.uk/old/people/brian.randell/home.formal/NATO/index.htmlAlso, don't miss the pictures of attendees, ",Safe Email,no,no,"Content is purely educational on software engineering history, linking to a legitimate academic university site with no requests for info, urgency, or suspicious elements.",98
"re : 3 . 402 queries : language - speakers , syntax , texts i would like to address the issue of "" who speaks languages ? "" it seems to me that this is a big problem . while linguists study structures of various kinds , language teachers study literature , and , if they ' re lucky , pedagogy ( very few graduate schools offer any theoretical orientation to teaching to literature students , which is where most college language teachers come from ) . thus many college language teachers must teach w",Safe Email,no,no,"Content appears to be a legitimate academic discussion on linguistics and language teaching, with no requests for personal info, links, or suspicious elements.",98
"a resume john , this is a resume i received today from my friend . please , take a look at it . what follows below is a copy of his message to me : dear vincent , i very much would like to ask you for a career advice . i am looking for new challenges and new professional opportunities . possibly there would be such opportunity around yourself at enron corporation . i trust that my strongest asset is my intellectual capital and ability to look from new angles into complex issues . beside of the e",Safe Email,no,no,"The content shares a resume and requests career advice without any links, attachments, or demands for personal/financial information; mentions defunct Enron but lacks malicious intent indicators.",95
"EFFector       Vol. 15, No. 35       November 8, 2002     ren@eff.orgA Publication of the Electronic Frontier Foundation     ISSN 1062-9424In the 234th Issue of EFFector:    * ALERT UPDATE: Urge Your Representative to Co-Sponsor the DMCRA!
    * ALERT: Bait and Switch: Anticounterfeiting Bill Hurts Your 
      Rights!
    * Canadian Trademark Law Overreaching
    * Give Twice as Many Gifts this Holiday Season!
    * Deep Links (4): Security Technologies Could Backfire Against 
      Consumers
  ",Safe Email,no,no,"This is a legitimate newsletter from the Electronic Frontier Foundation (EFF), listing topics on digital rights and alerts, with no requests for personal info, links, or suspicious elements.",98
"re : meeting on feb 8 , 2001 dear mr . nur azmin abu bakar , thanks for your prompt reply . please , let us know how many members of your team will visit enron . i look forward to our meeting on february 8 . vince kaminski azminab @ petronas . com . my on 01 / 02 / 2001 06 : 38 : 33 pm to : vince . j . kaminski @ enron . com , khairuddinbmjaafar @ petronas . com . my , shirley . crenshaw @ enron . com cc : subject : re : meeting on feb 8 , 2001 dear kaminski , happy new year and thank you for th",Safe Email,no,no,"This is a legitimate business email snippet from the Enron corpus, coordinating a meeting with real names and no requests for sensitive info, links, or attachments.",100
"formal invite for chase . secrets revealed . how do porn stars perform , stay strong and hard even after cumming ! grow upto "" 8 "" inches ! the answer is here . turn off notifications here . ub international exports ltd st . jan # 3341 belize city , belize",Phishing Email,yes,yes,"Unsolicited scam promoting fake male enhancement with suspicious calls to action (e.g., ""the answer is here"") likely leading to malicious sites, plus dubious Belize address and possible ""chase"" impersonation.",95
"Question?Do you want a different job?
Do you want to be your own boss?
Do you need extra income?
Do you need to start a new life?
Does your current job seem to go nowhere?If you answered yes to these questions, then here is your solution.We are a fortune 500 company looking for motivated individuals who are 
looking
to a substantial income working from home.Thousands of individual are currently do this RIGHT NOW.
So if you are looking to be employed at home, with a career that will
provide you v",Phishing Email,yes,yes,"Unsolicited vague job offer from unnamed ""Fortune 500"" company with typos, grammatical errors, and promises of easy home-based income, typical of scam/phishing lures to extract personal info.",85
"URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309
Date: Not suppliedhttp://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309",Safe Email,no,no,"Content is a repeated legitimate LiveJournal URL with no deceptive elements, urgency, or requests for personal information.",85
"calpine daily and monthly nomination > > ricky a . archer fuel supply 700 louisiana , suite 2700 houston , texas 77002 713 - 830 - 8659 direct 713 - 830 - 8722 fax - calpine daily gas nomination 1 . doc - calpine monthly gas nomination _ _ _ . doc",Safe Email,no,no,"Content resembles legitimate business email about energy sector gas nominations, including real company (Calpine) details and attachments, with no urgent demands, links, or personal info requests.",75
"fw : bod agenda deadlines the next bod and committee meetings will be held on april 30 - may 1 . rebecca carter has set the deadline for commercial groups to submit agenda items to her office and to rick buy as wednesday , april 18 . i will forward her notification memo sent to the commercial teams once it is distributed . please contact me as soon as possible if you know of anything that has a possibility to be added to the finance committee agenda . all presentations as approved by rebecca car",Safe Email,no,no,"Email shares internal business meeting details and deadlines without requests for sensitive info, links, or attachments typical of phishing.",95
start date : 12 / 16 / 01 ; hourahead hour : 19 ; start date : 12 / 16 / 01 ; hourahead hour : 19 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2001121619 . txt # # # cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule . unable to assign deal number .,Safe Email,no,no,"Content is a technical log from a scheduling system with no requests for information, links, or suspicious elements typical of phishing.",98
"re : tetco / hpl ( enerfin ) meter # 986892 step # 1 has been completed . sherlyn , verify step # 2 tomorrow and call me when completed . jackie , verify the nom on oct 4 & 5 . it appears there is still a volume for meter 6892 until oct 6 . if there are any questions or issues , contact me at 37649 . i am the contact person while clem is out ( through friday ) . hc - - - - - - - - - - - - - - - - - - - - - - forwarded by howard b camp / hou / ect on 10 / 04 / 2000 01 : 01 pm - - - - - - - - - - ",Safe Email,no,no,"Email appears to be legitimate internal business communication about work tasks, with no links, attachments, urgent demands, or requests for sensitive information.",98
"PROMOTE YOUR PRODUCT OR
SERVICE TO MILLIONS TODAY!
Â 
E-MAIL MARKETING
- Bulk e-mail will make you money so fast, your head will
spin!- Our customers tell us that they would no longer be in
business without it.- New collection of software allows you to collect targeted
e-mail addresses for free!Â Â Â  See this product's web
page
CLICK
HERE
Â 
1 MILLION AMERICAN BUSINESS LEADS ON
CD- If you do telemarketing, mailing, or faxing this list
will be a gold mine!
- Contains company name, address,
phone",Phishing Email,yes,yes,"Unsolicited promo with hype for free email collection software and a suspicious ""CLICK HERE"" link, typical of scams leading to malware or data theft.",75
"culture committee / subcommittee meeting the management team follow - up meeting for the culture committee has been set for monday may 7 , 2001 , from 11 : 30 until 1 : 30 in eb 4102 . lunch will be provided , so please respond confirming your attendance . also , this conference room is equipped with video capabilities , so please advise if you will require this function . thank you , ricki winters ( 713 ) 853 - 5754",Safe Email,no,no,"Email announces an internal meeting with specific details, requests only attendance confirmation, and lacks urgency, links, or requests for sensitive information.",98
"sle 31 call for papers , sle 31 , st andrews , scotland , 26-30 august 1998 workshop on modality in generative grammar the description and analysis of modality is of central interest to the study of human language . modality interacts with many subsystems of syntax and a better understanding of modality would further our understanding of these subsystems greatly . the relevant subsystems play a role in the existing analyses of the epistemic-deontic dichotomy . this has been attributed to : ( i )",Safe Email,no,no,"Content is a legitimate academic call for papers on linguistics, lacking any requests for personal info, links, or suspicious tactics typical of phishing.",98
,Phishing Email,,yes,Error: Empty prompt,
"lowers blood pressure and cholesterol let ' s face it , age should be nothing more than a number it ' s okay to want to hold on to your young body as long as you can with increasing longevity for an increasing segment of the population , this is the frontier for the new millennium - dr virgil howard view more about a new lifespan enhancement press here we ship right to your door sorry not for me and the twenty trials compared the same lactam all cause fatality the most significant and objective ",Phishing Email,yes,yes,"Unsolicited email promoting dubious health/lifespan products with a suspicious ""press here"" link, likely leading to scams or malware, typical of phishing lures.",85
"release of agfl home page this message announces the release of the world wide web home page of agfl ( affix grammars over a finite lattice ) . 1 . agfl the agfl formalism , developed at the university of nijmegen , the netherlands , is a formalism in which context free grammars can be described compactly . agfls are two level grammars : a first , context free level is augmented with features for expressing agreement between parts of speech . features are treated as types , and their values may ",Safe Email,no,no,"Content is a legitimate academic announcement about a technical project's webpage release, lacking any suspicious links, requests for info, or urgency.",98
"mobil beaumont - marol just want to confirm the march midcon volumes for mobil : 3 / 21 28 , 271 3 / 22 26 , 221 3 / 23 24 , 459 3 / 24 30 , 000 3 / 25 30 , 000 3 / 26 26 , 852 3 / 27 30 , 000 3 / 28 30 , 000 3 / 29 30 , 000 3 / 30 20 , 164 3 / 31 12 , 365 total 288 , 332 mmbtu this is what i saw in pops - please let me know if there should be any different volumes / days . thanks for your help . rebecca - - - - - - - - - - - - - - - - - - - - - - forwarded by rebecca griffin / na / enron on 04 ",Safe Email,no,no,"Email is a legitimate internal business confirmation of volumes with no requests for sensitive info, links, or urgency tactics.",98
"<!--
function MM_findObj(n, d) { //v3.0
  var p,i,x;  if(!d) d=document; if((p=n.indexOf(""?""))>0&&parent.frames.length) {
    d=parent.frames[n.substring(p+1)].document; n=n.substring(0,p);}
  if(!(x=d[n])&&d.all) x=d.all[n]; for (i=0;!x&&i<d.forms.length;i++) x=d.forms[i][n];
  for(i=0;!x&&d.layers&&i<d.layers.length;i++) x=MM_findObj(n,d.layers[i].document); return x;
}
function MM_swapImage() { //v3.0
  var i,j=0,x,a=MM_swapImage.arguments; document.MM_sr=new Array; for(i=0;i<(a.length-2);i+=",Phishing Email,no,yes,"The content is benign, incomplete JavaScript code for image swapping (old Dreamweaver functions), with no links, data requests, or malicious indicators typical of phishing.",85
"presentation on metals - - - - - - - - - - - - - - - - - - - - - - forwarded by leann walton / na / enron on 10 / 26 / 2000 10 : 52 am - - - - - - - - - - - - - - - - - - - - - - - - - - - alison sealy on 10 / 09 / 2000 10 : 37 : 40 am to : mraymon @ enron . com cc : subject : presentation on metals hi maureen , it was good to meet you last week and hear your presentation on the metals - full of advice on what to think about and all the various things that affect the market place . i am only sor",Safe Email,no,no,"Email appears to be a legitimate internal Enron business follow-up on a presentation, with no links, attachments, urgent demands, or requests for sensitive information.",98
"premium adult content looking for high quality adult content at the right price ? then check out xxx by scarlett - 15 image cd 's and 3 video clip cd 's * hardcore * softcore * asian hardcore * transsexual hardcore * english roses ( 18-21 yrs ) * extreme euro hardcore * gay * amateur check out our quality , the amazing prices and with new content coming out every month you ' ll easily see why xxx by scarlett is the number one adult content provider . thank you for your time . scarlett",Phishing Email,no,yes,"Email promotes adult content sales without requesting sensitive information, links, or impersonating trusted entities; it's unsolicited spam, not deceptive phishing.",95
"Thanks Brent: now it's clearer (to me) what's needed. I've used the global
sort and J C Lawrence's re-scan, but there is still a vulnerability there:
If I have an instance of exmh running, the folder I'm visiting will have
its new, correct .xmhcache overwritten with an incorrect one when I switch
folders. I can cron the sort and re-scan process, but I should kill running
exmh's first.Best would be to have a button for ""Global sort and update all scan caches""
in the exmh More... menu--
rick>>>>> ",Safe Email,no,no,"Content is a technical discussion about exmh software bugs and features, lacking phishing hallmarks like urgent requests, links, or impersonation.",100
"re : 6 . 381 words that are their own opposites several people submitted "" overlook "" and "" oversight "" , which are fine examples of this phenomenon in english ( though i think that mary neff 's "" outgoing : retiring "" is perhaps the most elegant submission to date . ) perhaps my current work on the various shades of meaning in english prepositions has biased me , but in any case i think that the difference in the various senses of "" oversight "" and "" overlook "" stems largely from their compound",Safe Email,no,no,"Content is a benign discussion on English words and linguistics, lacking any requests for info, links, urgency, or suspicious tactics.",98
"25 mg trick how to save on your medlcations over 7 unassertive 0 % . pharmsh apiarist op - successfull and proven way to sav orangutan e your mon intangibility ey . decussate v a perceptible g a barbarity l l chopsticks u stannic l exploitation rac peafowl l shepherd isva kalmyk l retortion m andmanyother . bes undone t prlces . wo peahen rldwide shlpplng . easy revisory order form . total confidentia wattless iity . 250 , 000 satisfied custom coquette ers . order today and birchen save !",Phishing Email,yes,yes,"Obfuscated spam promoting cheap/fake medications (e.g., ""25 mg"" likely Viagra) with random words to bypass filters, luring users to scam sites for financial gain.",95
"Help wanted.  We are a 14 year old fortune 500 company, that is
growing at a tremendous rate.  We are looking for individuals who
want to work from home.This is an opportunity to make an excellent income.  No experience
is required.  We will train you.So if you are looking to be employed from home with a career that has
vast opportunities, then go:http://www.basetel.com/wealthnowWe are looking for energetic and self motivated people.  If that is you
than click on the link and fill out the form, ",Phishing Email,yes,yes,"Unsolicited work-from-home job scam promising easy high income with no experience, directing to suspicious link for form submission to likely harvest personal information.",95
"important message jaguar are anaerobic is brute ofclose stroboscopic your bookstore is aliphatic and libation depressant in chlordane is cheryl of roadster benefit your petrology is prolong are asheville are you a qualified professional but simply lack the requested credentials after your name ? you know you deserve a better salary , more prestige but lack the degree qualifications even though you have the life ' s knowledge and the abilities requested in today ' s world ? tired of being turned ",Phishing Email,yes,yes,"Nonsensical preamble likely to evade filters, followed by scam offering fake credentials for money/prestige, common in degree mill phishing.",95
"hpl optimization team , as i mentioned in our hpl staff meeting we are investigating the merits of entering into a joint venture or another transaction structure that will position hpl to effectively compete in the texas intrastate market . our primary objective is to gain access to additional sources of gas supply and achieve the required economies of scale to compete with other intrastate pipelines . i would appreciate your confidence and support in developing the optimal course of action for ",Safe Email,no,no,"Email appears to be a legitimate internal business discussion about strategy and joint ventures, with no requests for sensitive data, links, or urgent actions typical of phishing.",98
"Pity.  Reading that woman's ad and knowing Rohit for years, they sound
like a match made in heaven.  But why, oh, why, keep that shaved-head
photo on prominent display???  There are lots of photos of Rohit
looking rather dashing, and with the crucial hair feature enabled!R",Safe Email,no,no,"Content is a casual, personal comment on a dating profile with no requests for info, links, or impersonation.",98
"BUY 2 ADULT DVDs AT REGULAR PRICE AND GET A THIRD XXX DVD FOR FREE!!VISIT US AT http://www.hotdvds.orgTo be removed from our list, just reply to this email and type REMOVE in the subject line 6js7M_5WNea5xu3M_D7K7Oouz",Phishing Email,no,yes,"This is unsolicited spam promoting adult DVDs with a suspicious URL, but lacks impersonation or direct requests for sensitive information typical of phishing.",95
"re : fw : first deliveries - comstock oil & gas and hesco gathering company daren , is it okay to enter a wellhead deal in april for a purchase from hesco at meter # 9885 priced at gas daily less $ 0 . 14 with a volume of 1 , 100 / d ? bob - - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 04 / 17 / 2001 09 : 55 am - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : robert cotten 04 / 16 / 2001 04 : 13 pm to : vance l taylor ",Safe Email,no,no,"This is an internal business email from Enron discussing a legitimate gas purchase deal, with no requests for sensitive info, links, or urgency typical of phishing.",98
"new hire dinner rsvps don ' t forget to let me know if you are interested in attending the new hire dinner at 6 pm on thursday , april 26 th ! it will be held at oritalia at the westin hotel . please indicate your meal selection ( meat - - beef , or veggie - - pasta ) . i will need to submit final entree numbers thursday morning . thanks , grace x 8321",Safe Email,no,no,"Email is a straightforward internal RSVP for a company event with no requests for sensitive data, links, attachments, or urgent threats typical of phishing.",98
"gino , who do u want to win ? the secret on how porn stars grew big dicks ! the answer is here . turn off notifications here . wv international exports ltd st . nathaniel # 4780 belize city , belize",Phishing Email,yes,yes,"Unsolicited spam-like email with enticing taboo subject, implied malicious links (""answer is here"", ""turn off notifications""), and suspicious offshore sender address typical of scams.",95
"unbelievable new homes for the usa ! it ' s a beautiful day today homeowner you have been pre - approved for a $ 431 , 221 home loan at a 3 . 29 fixed rate . this offer is being extended to you unconditionally and your credit is in no way a factor . to take advantage of this limited time opportunity all we ask is that you visit our website and complete the 1 minute post approval form have a good day , shemika kelly",Phishing Email,yes,yes,"Unsolicited loan pre-approval with no credit check, urgency to visit a website for a form, poor formatting, and generic sender indicate scam to steal personal info.",95
"URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:3:59:56PM
Date: Tue, 24 Sep 2002 22:59:56 GMTBruce Loebrich[1] has scraped RSS feeds for Google news, and a RSS 2.0 success 
story. In other words, it's okay to use the features in 2.0. We're doing it at 
UserLand and so is Bruce.[1] http://radio.weblogs.com/0104308/2002/09/24.html",Safe Email,no,no,"Content is a legitimate 2002 tech newsletter from Dave Winer about RSS feeds, with no requests for sensitive info or suspicious links.",98
"discover the new winning sexual erection pills ! prescriptions for female sexual disfunction i exist as i am , that is enough . the covers of this book are too far apart . a person ' s a person , no matter how small . a young man is embarrassed to question an older one .",Phishing Email,no,yes,"Content is promotional spam for dubious sexual enhancement products with random quotes, but lacks phishing hallmarks like requests for personal data, fake urgency, or impersonation of trusted entities.",95
"interview schedule for greg mikkelson attached please find the interview packet for the above - referenced person . the interview will happen tuesday , july 11 , 2000 . print all three documents for your hard copies . if you have any questions , or conflicts of schedule , please do not hesitate to contact me . liz alvarado 58983",Safe Email,no,no,"Email is a straightforward internal scheduling notice for an interview, requesting document printing without demands for sensitive info, links, or urgency typical of phishing.",95
"----- Original Message ----- 
From: ""Gary Lawrence Murphy"" > 
>     f> What about a situation where you don't directly ask/talk to the
>     f> bot, but they listen in and advise/correct/interject/etc?
> 
> Do you do that?  Do you hear two people at the next table say ""I'm
> going to Seattle tomorrow"" and you just /have/ to lean over and
> interject compulsively to tell them what you know about Seattle's
> weather?Have you ever worked with Kragen?",Safe Email,no,no,"Content is a casual discussion snippet about AI bots and personal queries, lacking any requests for info, links, attachments, or impersonation typical of phishing.",98
empty,Phishing Email,no,yes,"Empty content lacks any deceptive elements, links, or requests characteristic of phishing attempts.",100
"chess - endgame ( fwd ) thanks to everyone who responded concerning the names for chess . apparently both are acceptable . for the royal game i found a reference in the britanica , and sara friedman cited another one from stefan zweig . for the game of kings there were also literary references , and wide familiarity , so this usage is correct as well . uri bruck bruck @ actcom . co . il",Safe Email,no,no,"Email is a benign discussion on chess terminology with no requests for info, links, or suspicious elements.",98
"free portable dvd player offer valid only to residents of the united states who are at least 18 years old . you need to complete our offer eligibility requirements to qualify for your free gift . trademarks , service marks , logos , and / or domain names are the property of their respective owners , who have no association with or make any endorsement of the products or services provided by lookdog . com . to unsubscribe from future lookdog . com promotions and offers please submit an online req",Phishing Email,yes,yes,"Promises free gift requiring ""eligibility requirements"" likely to collect personal data; suspicious domain and spam-like structure.",90
today ' s floor meeting you may get a few pointed questions about today ' s article about lay ' s potential severance of $ 80 mm . vance meyer from pr was saying they ' ve been briefing executives who ' re having floor meetings and i told him you and lavo were having one later today too . - r,Safe Email,no,no,"Email is an internal company message about a meeting and article discussion, lacking phishing hallmarks like urgent requests, links, attachments, or impersonation.",98
"urgent mr . johnson obipacific bank plc , 9 th floor , ikoyi estatevictoria island , lagos . i am mr . johnson obi , provincial director pacificbank of nigeria , victoria island branch . i haveurgent and very confidential business proposition foryou . on june 6 , 2002 , an american oil consultant / contractorwith the nigeria mining corporation , mr . michaelcreek made a numbered time ( fixed ) deposit fortwelve calendar months , valued at us $ 20 , 200 , 000 . 00 ( twenty million two hundred tho",Phishing Email,yes,yes,"Classic Nigerian scam email with poor grammar, fake bank official, urgent confidential proposition involving large sum from deceased foreigner.",100
"open season notices as today is the deadline for our open season responses , please make a copy of any capacity requests for me as i will consolidate them and send out a summary to the commercial group . thanks . lorraine",Safe Email,no,no,"Email is a straightforward internal request for document copies related to a business deadline, with no links, attachments, or demands for sensitive information.",98
"refinancing has never been so easy to remove your address and receive no future free insider software = sales , specials , or business opportunities from the net-advertiser = simply type "" remove "" in the subject . cross county funding puts dollars in your pocket for the past several years , cross country has been helping homeowners = like yourself save thousands of dollars a year on mortgage obligations . refinancing has never been so easy ! just reply by email and a member of = our professiona",Phishing Email,yes,yes,"Unsolicited email with poor grammar, fake-sounding company (e.g., ""cross county funding""), and urgent call to reply for refinancing, likely to extract personal/financial info.",90
"your in - home source of health information regain your confidence viagra online life grants nothing to us mortals without hard work . there is nothing to suggest that mothering cannot be shared by several people . an honest tale speeds best , being plainly told . i told you i was sick .",Phishing Email,yes,yes,"Promotes ""viagra online"" with unrelated filler quotes, a common tactic in scam emails to sell fake drugs and potentially lead to malicious sites.",90
">>>>> ""TP"" == Tim Peters  writes:  >> The false positive rate is 0-3%.  (Finally!  I had to scrub a
  >> bunch of previously unnoticed spam from my inbox.)  Both
  >> collections have about 1100 messages.  TP> Does this mean you trained on about 1100 of each?The total collections are 1100 messages.  I trained with 1100/5
messages.   TP> Can't guess.  You're in a good position to start adding more
  TP> headers into the analysis, though.  For example, an easy start
  TP> would be to uncomment the",Safe Email,no,no,"Content is a technical discussion on spam filtering and email analysis, with no requests for info, links, or impersonation typical of phishing.",98
