Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"make her beg you to give it to her everynight you too can please you and your partner so much better . and it doesn ' t take half a year like other solutions . if you don ' t trust me , trust the new york times , newsweek , time magazine , and the testemonials of many people all over the net . look , if anything else check out the site and see the facts for yourself its new , its safe ! its the most advanced penile enlargement solution ! it ' s 100 % guaranteed to enlarge your penis . 3 + inches",Phishing Email,yes,yes,"It contains deceptive claims (false endorsements from major media outlets) and promotes a fraudulent product, typical of social engineering attempts leading to scams.",85
"URL: http://www.newsisfree.com/click/-5,8304313,1717/
Date: 2002-09-27T08:51:29+01:00[IMG: http://www.newsisfree.com/Images/fark/cbc.ca.gif ([CBC])]",Safe Email,no,no,"This appears to be a legitimate news aggregator link from 2002 (newsisfree.com), not attempting to acquire sensitive information or impersonate a trusted entity.",100
"begin forwarded text Date: Wed, 25 Sep 2002 13:57:15 -0400 To: Digital Bearer Settlement List From: ""R. A. Hettinga"" Subject: California needs intelligent energy deregulation Sender: http://www.siliconvalley.com/mld/siliconvalley/4144696.htm?template=contentModules/printstory.jspPosted on Tue, Sep. 24, 2002 Dan Gillmor: State needs intelligent energy deregulationBy Dan Gillmor Mercury News Technology ColumnistThe facts were trade and government secrets at the time. But the energy industry failed",Safe Email,no,no,"It is a forwarded news article from a legitimate source from 2002, with no requests for information or suspicious links.",100
"re : fyi - wellhead portfolio who is considered to be on greg sharp ' s orig team ? if they have deals in the wellhead portfolio , do we need to move them out ? just double checking . dave - - - - - - - - - - - - - - - - - - - - - - forwarded by david baumbach / hou / ect on 04 / 11 / 2000 10 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : brenda f herod 04 / 11 / 2000 10 : 09 am to : david baumbach / hou / ect @ ect cc : subject : re : fyi - wellh",Safe Email,no,no,"This is an internal business discussion from a very old email (2000), likely from the Enron corpus, lacking any typical phishing characteristics like malicious links, urgent requests for sensitive information, or impersonation.",100
"rmmla / ads * * * * * * * * papers solicited for the 1998 rmmla conference * * * * * * * * * conjoint meeting : american dialect society : session chair , simonie hodges georgetown university 2525 farmcrest dr . # 328 herndon , va 20171 usa this session showcases papers on various aspects of american dialects . examples of previous paper topics include : dialects of utah , the use of formal and informal pronouns "" you "" in spanish speaking cities , jamaican english in historical plays , and swee",Safe Email,no,no,"The content describes a legitimate academic conference from 1998, provides specific details like the session chair's name and address, and lacks any typical phishing characteristics such as requests for sensitive information, suspicious links, or deceptive tactics.",100
"re : testing ir & fx var nick and winston , i understand that ir & fx var numbers are calculated every day in risktrac . this results are overwritten everyday in the database table by the official numbers calculated with the old version of the code . for the consistent testing we need historical results for each ir and fx sub - portfolio . can we store the numbers every day ? tanya",Safe Email,no,no,"Appears to be a legitimate internal business email discussing data storage for testing. No suspicious links, requests for sensitive info, or urgent/threatening tone.",90
"The academic discipline of Software Engineering was launched at a conference
sponsored by NATO, at Garmisch, Germany, in October, 1968. Intriguingly, the
term Software Engineering was chosen to be deliberately provocative -- why
can't software be developed with the same rigor used by other engineering
disciplines?The proceedings of this conference are now available online, at:
http://www.cs.ncl.ac.uk/old/people/brian.randell/home.formal/NATO/index.htmlAlso, don't miss the pictures of attendees, ",Safe Email,no,no,"Informational content, legitimate academic link, no request for sensitive data or suspicious urgency.",95
"re : 3 . 402 queries : language - speakers , syntax , texts i would like to address the issue of "" who speaks languages ? "" it seems to me that this is a big problem . while linguists study structures of various kinds , language teachers study literature , and , if they ' re lucky , pedagogy ( very few graduate schools offer any theoretical orientation to teaching to literature students , which is where most college language teachers come from ) . thus many college language teachers must teach w",Safe Email,no,no,"The content is an academic discussion, not requesting sensitive information, containing suspicious links, or exhibiting typical phishing characteristics.",100
"a resume john , this is a resume i received today from my friend . please , take a look at it . what follows below is a copy of his message to me : dear vincent , i very much would like to ask you for a career advice . i am looking for new challenges and new professional opportunities . possibly there would be such opportunity around yourself at enron corporation . i trust that my strongest asset is my intellectual capital and ability to look from new angles into complex issues . beside of the e",Safe Email,yes,no,"The email mentions seeking job opportunities at ""Enron Corporation,"" a company that collapsed over 20 years ago, indicating a deceptive or malicious intent.",95
"EFFector       Vol. 15, No. 35       November 8, 2002     ren@eff.orgA Publication of the Electronic Frontier Foundation     ISSN 1062-9424In the 234th Issue of EFFector:    * ALERT UPDATE: Urge Your Representative to Co-Sponsor the DMCRA!
    * ALERT: Bait and Switch: Anticounterfeiting Bill Hurts Your 
      Rights!
    * Canadian Trademark Law Overreaching
    * Give Twice as Many Gifts this Holiday Season!
    * Deep Links (4): Security Technologies Could Backfire Against 
      Consumers
  ",Safe Email,no,no,"This is a standard newsletter content from the Electronic Frontier Foundation (EFF), consistent with their advocacy and publication style.",100
"re : meeting on feb 8 , 2001 dear mr . nur azmin abu bakar , thanks for your prompt reply . please , let us know how many members of your team will visit enron . i look forward to our meeting on february 8 . vince kaminski azminab @ petronas . com . my on 01 / 02 / 2001 06 : 38 : 33 pm to : vince . j . kaminski @ enron . com , khairuddinbmjaafar @ petronas . com . my , shirley . crenshaw @ enron . com cc : subject : re : meeting on feb 8 , 2001 dear kaminski , happy new year and thank you for th",Safe Email,no,no,"This appears to be a legitimate business communication regarding a meeting, lacking any typical phishing indicators like suspicious links, urgent requests for sensitive information, or unusual sender.",100
"formal invite for chase . secrets revealed . how do porn stars perform , stay strong and hard even after cumming ! grow upto "" 8 "" inches ! the answer is here . turn off notifications here . ub international exports ltd st . jan # 3341 belize city , belize",Phishing Email,yes,yes,"Deceptive financial lure combined with sensational, sexually explicit scam content designed to trick users into clicking malicious links.",95
"Question?Do you want a different job?
Do you want to be your own boss?
Do you need extra income?
Do you need to start a new life?
Does your current job seem to go nowhere?If you answered yes to these questions, then here is your solution.We are a fortune 500 company looking for motivated individuals who are 
looking
to a substantial income working from home.Thousands of individual are currently do this RIGHT NOW.
So if you are looking to be employed at home, with a career that will
provide you v",Phishing Email,yes,yes,"Vague ""Fortune 500"" claim, grammatical errors, and unrealistic work-from-home income promises are hallmarks of a scam aiming to extract data or money.",95
"URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309
Date: Not suppliedhttp://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309",Safe Email,no,no,The email only contains a legitimate URL to LiveJournal and no deceptive text or requests for information.,100
"calpine daily and monthly nomination > > ricky a . archer fuel supply 700 louisiana , suite 2700 houston , texas 77002 713 - 830 - 8659 direct 713 - 830 - 8722 fax - calpine daily gas nomination 1 . doc - calpine monthly gas nomination _ _ _ . doc",Safe Email,no,no,"Contains detailed and consistent business contact information and relevant document names, lacking typical phishing indicators.",90
"fw : bod agenda deadlines the next bod and committee meetings will be held on april 30 - may 1 . rebecca carter has set the deadline for commercial groups to submit agenda items to her office and to rick buy as wednesday , april 18 . i will forward her notification memo sent to the commercial teams once it is distributed . please contact me as soon as possible if you know of anything that has a possibility to be added to the finance committee agenda . all presentations as approved by rebecca car",Safe Email,no,no,"This appears to be a standard internal business email regarding meeting schedules and agenda deadlines, with no suspicious links, requests for sensitive information, or urgent threats.",95
start date : 12 / 16 / 01 ; hourahead hour : 19 ; start date : 12 / 16 / 01 ; hourahead hour : 19 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2001121619 . txt # # # cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule . unable to assign deal number .,Safe Email,no,no,"The content is a system log message detailing scheduling and file parsing issues, not requesting personal information, containing suspicious links, or threatening action.",100
"re : tetco / hpl ( enerfin ) meter # 986892 step # 1 has been completed . sherlyn , verify step # 2 tomorrow and call me when completed . jackie , verify the nom on oct 4 & 5 . it appears there is still a volume for meter 6892 until oct 6 . if there are any questions or issues , contact me at 37649 . i am the contact person while clem is out ( through friday ) . hc - - - - - - - - - - - - - - - - - - - - - - forwarded by howard b camp / hou / ect on 10 / 04 / 2000 01 : 01 pm - - - - - - - - - - ",Safe Email,no,no,"The email is a clear internal business communication with specific tasks, names, and an internal contact number, lacking typical phishing characteristics like malicious links, requests for sensitive info, or generic greetings.",100
"PROMOTE YOUR PRODUCT OR
SERVICE TO MILLIONS TODAY!
Â 
E-MAIL MARKETING
- Bulk e-mail will make you money so fast, your head will
spin!- Our customers tell us that they would no longer be in
business without it.- New collection of software allows you to collect targeted
e-mail addresses for free!Â Â Â  See this product's web
page
CLICK
HERE
Â 
1 MILLION AMERICAN BUSINESS LEADS ON
CD- If you do telemarketing, mailing, or faxing this list
will be a gold mine!
- Contains company name, address,
phone",Phishing Email,yes,yes,"Contains exaggerated claims and a generic, concealed link (""CLICK HERE""), common tactics for phishing or scams.",80
"culture committee / subcommittee meeting the management team follow - up meeting for the culture committee has been set for monday may 7 , 2001 , from 11 : 30 until 1 : 30 in eb 4102 . lunch will be provided , so please respond confirming your attendance . also , this conference room is equipped with video capabilities , so please advise if you will require this function . thank you , ricki winters ( 713 ) 853 - 5754",Safe Email,yes,no,"The meeting date (May 7, 2001) is extremely outdated, making the email highly suspicious and likely deceptive if received recently.",90
"sle 31 call for papers , sle 31 , st andrews , scotland , 26-30 august 1998 workshop on modality in generative grammar the description and analysis of modality is of central interest to the study of human language . modality interacts with many subsystems of syntax and a better understanding of modality would further our understanding of these subsystems greatly . the relevant subsystems play a role in the existing analyses of the epistemic-deontic dichotomy . this has been attributed to : ( i )",Safe Email,no,no,"The content describes a dated academic call for papers (1998) and contains no malicious links, requests for personal information, or other phishing indicators.",100
,Phishing Email,,yes,Error: Empty prompt,
"lowers blood pressure and cholesterol let ' s face it , age should be nothing more than a number it ' s okay to want to hold on to your young body as long as you can with increasing longevity for an increasing segment of the population , this is the frontier for the new millennium - dr virgil howard view more about a new lifespan enhancement press here we ship right to your door sorry not for me and the twenty trials compared the same lactam all cause fatality the most significant and objective ",Phishing Email,yes,yes,"The email uses unsolicited health claims, vague authority, and a generic call-to-action link (""press here""), common tactics to lure users into clicking potentially malicious links or engaging with a scam product.",90
"release of agfl home page this message announces the release of the world wide web home page of agfl ( affix grammars over a finite lattice ) . 1 . agfl the agfl formalism , developed at the university of nijmegen , the netherlands , is a formalism in which context free grammars can be described compactly . agfls are two level grammars : a first , context free level is augmented with features for expressing agreement between parts of speech . features are treated as types , and their values may ",Safe Email,no,no,"The email is purely informational, announcing a technical project's home page without suspicious links, requests for personal data, or deceptive tactics.",95
"mobil beaumont - marol just want to confirm the march midcon volumes for mobil : 3 / 21 28 , 271 3 / 22 26 , 221 3 / 23 24 , 459 3 / 24 30 , 000 3 / 25 30 , 000 3 / 26 26 , 852 3 / 27 30 , 000 3 / 28 30 , 000 3 / 29 30 , 000 3 / 30 20 , 164 3 / 31 12 , 365 total 288 , 332 mmbtu this is what i saw in pops - please let me know if there should be any different volumes / days . thanks for your help . rebecca - - - - - - - - - - - - - - - - - - - - - - forwarded by rebecca griffin / na / enron on 04 ",Safe Email,no,no,"The email is a simple internal business communication confirming data volumes, lacking typical phishing characteristics like malicious links, requests for sensitive information, or urgent threats.",95
"<!--
function MM_findObj(n, d) { //v3.0
  var p,i,x;  if(!d) d=document; if((p=n.indexOf(""?""))>0&&parent.frames.length) {
    d=parent.frames[n.substring(p+1)].document; n=n.substring(0,p);}
  if(!(x=d[n])&&d.all) x=d.all[n]; for (i=0;!x&&i<d.forms.length;i++) x=d.forms[i][n];
  for(i=0;!x&&d.layers&&i<d.layers.length;i++) x=MM_findObj(n,d.layers[i].document); return x;
}
function MM_swapImage() { //v3.0
  var i,j=0,x,a=MM_swapImage.arguments; document.MM_sr=new Array; for(i=0;i<(a.length-2);i+=",Phishing Email,no,yes,"The content is a JavaScript code snippet, not a social engineering attempt, malicious link, or request for information.",100
"presentation on metals - - - - - - - - - - - - - - - - - - - - - - forwarded by leann walton / na / enron on 10 / 26 / 2000 10 : 52 am - - - - - - - - - - - - - - - - - - - - - - - - - - - alison sealy on 10 / 09 / 2000 10 : 37 : 40 am to : mraymon @ enron . com cc : subject : presentation on metals hi maureen , it was good to meet you last week and hear your presentation on the metals - full of advice on what to think about and all the various things that affect the market place . i am only sor",Safe Email,no,no,"This appears to be a legitimate internal business email from the Enron dataset, discussing a meeting and presentation. It lacks any typical phishing indicators like suspicious links, requests for sensitive information, or urgent threats.",95
"premium adult content looking for high quality adult content at the right price ? then check out xxx by scarlett - 15 image cd 's and 3 video clip cd 's * hardcore * softcore * asian hardcore * transsexual hardcore * english roses ( 18-21 yrs ) * extreme euro hardcore * gay * amateur check out our quality , the amazing prices and with new content coming out every month you ' ll easily see why xxx by scarlett is the number one adult content provider . thank you for your time . scarlett",Phishing Email,no,yes,"This is promotional spam for adult content, not seeking credentials or impersonating a trusted entity.",90
"Thanks Brent: now it's clearer (to me) what's needed. I've used the global
sort and J C Lawrence's re-scan, but there is still a vulnerability there:
If I have an instance of exmh running, the folder I'm visiting will have
its new, correct .xmhcache overwritten with an incorrect one when I switch
folders. I can cron the sort and re-scan process, but I should kill running
exmh's first.Best would be to have a button for ""Global sort and update all scan caches""
in the exmh More... menu--
rick>>>>> ",Safe Email,no,no,"This is a technical discussion about a software vulnerability and feature request for `exmh`, not a phishing attempt.",100
"re : 6 . 381 words that are their own opposites several people submitted "" overlook "" and "" oversight "" , which are fine examples of this phenomenon in english ( though i think that mary neff 's "" outgoing : retiring "" is perhaps the most elegant submission to date . ) perhaps my current work on the various shades of meaning in english prepositions has biased me , but in any case i think that the difference in the various senses of "" oversight "" and "" overlook "" stems largely from their compound",Safe Email,no,no,"The email discusses word meanings and has no suspicious links, requests for information, or urgent calls to action.",100
"25 mg trick how to save on your medlcations over 7 unassertive 0 % . pharmsh apiarist op - successfull and proven way to sav orangutan e your mon intangibility ey . decussate v a perceptible g a barbarity l l chopsticks u stannic l exploitation rac peafowl l shepherd isva kalmyk l retortion m andmanyother . bes undone t prlces . wo peahen rldwide shlpplng . easy revisory order form . total confidentia wattless iity . 250 , 000 satisfied custom coquette ers . order today and birchen save !",Phishing Email,yes,yes,"Uses garbled text, irrelevant words, and deliberate misspellings to evade spam filters while promoting a suspicious pharmaceutical offer.",100
"Help wanted.  We are a 14 year old fortune 500 company, that is
growing at a tremendous rate.  We are looking for individuals who
want to work from home.This is an opportunity to make an excellent income.  No experience
is required.  We will train you.So if you are looking to be employed from home with a career that has
vast opportunities, then go:http://www.basetel.com/wealthnowWe are looking for energetic and self motivated people.  If that is you
than click on the link and fill out the form, ",Phishing Email,yes,yes,"Claims to be a Fortune 500 company without naming it, offers unrealistic income with no experience, and directs to a suspicious URL not associated with any legitimate Fortune 500 firm.",95
"important message jaguar are anaerobic is brute ofclose stroboscopic your bookstore is aliphatic and libation depressant in chlordane is cheryl of roadster benefit your petrology is prolong are asheville are you a qualified professional but simply lack the requested credentials after your name ? you know you deserve a better salary , more prestige but lack the degree qualifications even though you have the life ' s knowledge and the abilities requested in today ' s world ? tired of being turned ",Phishing Email,yes,yes,"Contains random words to evade spam filters, then pivots to a common degree mill/fake credential scam.",100
"hpl optimization team , as i mentioned in our hpl staff meeting we are investigating the merits of entering into a joint venture or another transaction structure that will position hpl to effectively compete in the texas intrastate market . our primary objective is to gain access to additional sources of gas supply and achieve the required economies of scale to compete with other intrastate pipelines . i would appreciate your confidence and support in developing the optimal course of action for ",Safe Email,no,no,"The email discusses internal business strategy without requesting sensitive information, clicking links, or immediate action.",95
"Pity.  Reading that woman's ad and knowing Rohit for years, they sound
like a match made in heaven.  But why, oh, why, keep that shaved-head
photo on prominent display???  There are lots of photos of Rohit
looking rather dashing, and with the crucial hair feature enabled!R",Safe Email,no,no,"Content is a casual, personal observation, lacking typical phishing elements like requests for info, suspicious links, or urgent demands.",100
"BUY 2 ADULT DVDs AT REGULAR PRICE AND GET A THIRD XXX DVD FOR FREE!!VISIT US AT http://www.hotdvds.orgTo be removed from our list, just reply to this email and type REMOVE in the subject line 6js7M_5WNea5xu3M_D7K7Oouz",Phishing Email,no,yes,"This is a promotional email, not an attempt to steal information or credentials.",95
"re : fw : first deliveries - comstock oil & gas and hesco gathering company daren , is it okay to enter a wellhead deal in april for a purchase from hesco at meter # 9885 priced at gas daily less $ 0 . 14 with a volume of 1 , 100 / d ? bob - - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 04 / 17 / 2001 09 : 55 am - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : robert cotten 04 / 16 / 2001 04 : 13 pm to : vance l taylor ",Safe Email,no,no,"This appears to be a genuine internal business email discussing a specific transaction, likely from the Enron email dataset, not a phishing attempt.",100
"new hire dinner rsvps don ' t forget to let me know if you are interested in attending the new hire dinner at 6 pm on thursday , april 26 th ! it will be held at oritalia at the westin hotel . please indicate your meal selection ( meat - - beef , or veggie - - pasta ) . i will need to submit final entree numbers thursday morning . thanks , grace x 8321",Safe Email,no,no,"No suspicious links, attachments, or requests for sensitive personal information. Content is consistent with event planning.",95
"gino , who do u want to win ? the secret on how porn stars grew big dicks ! the answer is here . turn off notifications here . wv international exports ltd st . nathaniel # 4780 belize city , belize",Phishing Email,yes,yes,"Contains highly suggestive clickbait content often used to lead to scam sites or malware, combined with a dubious ""unsubscribe"" link.",95
"unbelievable new homes for the usa ! it ' s a beautiful day today homeowner you have been pre - approved for a $ 431 , 221 home loan at a 3 . 29 fixed rate . this offer is being extended to you unconditionally and your credit is in no way a factor . to take advantage of this limited time opportunity all we ask is that you visit our website and complete the 1 minute post approval form have a good day , shemika kelly",Phishing Email,yes,yes,"Offers a large loan unconditionally with no credit check, a classic too-good-to-be-true scam tactic to harvest personal info via a website.",100
"URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:3:59:56PM
Date: Tue, 24 Sep 2002 22:59:56 GMTBruce Loebrich[1] has scraped RSS feeds for Google news, and a RSS 2.0 success 
story. In other words, it's okay to use the features in 2.0. We're doing it at 
UserLand and so is Bruce.[1] http://radio.weblogs.com/0104308/2002/09/24.html",Safe Email,no,no,"The email is an old technical discussion about RSS 2.0 and UserLand from 2002. The URLs point to legitimate, contextually relevant domains (userland.com, radio.weblogs.com) for that time and topic. There are no typical phishing indicators like urgent requests, personal data solicitation, or deceptive links.",100
"discover the new winning sexual erection pills ! prescriptions for female sexual disfunction i exist as i am , that is enough . the covers of this book are too far apart . a person ' s a person , no matter how small . a young man is embarrassed to question an older one .",Phishing Email,yes,yes,"Promotes dubious sexual enhancement pills, a common spam/scam tactic often leading to data harvesting or malware. The inclusion of unrelated quotes is often used to evade spam filters.",95
"interview schedule for greg mikkelson attached please find the interview packet for the above - referenced person . the interview will happen tuesday , july 11 , 2000 . print all three documents for your hard copies . if you have any questions , or conflicts of schedule , please do not hesitate to contact me . liz alvarado 58983",Safe Email,yes,no,"The interview date (July 11, 2000) is 24 years in the past, highly suspicious for an active scheduling email, indicating a likely malicious attempt using an implied attachment.",95
"----- Original Message ----- 
From: ""Gary Lawrence Murphy"" > 
>     f> What about a situation where you don't directly ask/talk to the
>     f> bot, but they listen in and advise/correct/interject/etc?
> 
> Do you do that?  Do you hear two people at the next table say ""I'm
> going to Seattle tomorrow"" and you just /have/ to lean over and
> interject compulsively to tell them what you know about Seattle's
> weather?Have you ever worked with Kragen?",Safe Email,no,no,"The email content is a conversational discussion, likely part of an ongoing thread, and does not contain any typical phishing indicators like requests for sensitive information, suspicious links, urgency, or threats.",95
empty,Phishing Email,no,yes,An empty email contains no content or elements that could be used for a phishing attempt.,100
"chess - endgame ( fwd ) thanks to everyone who responded concerning the names for chess . apparently both are acceptable . for the royal game i found a reference in the britanica , and sara friedman cited another one from stefan zweig . for the game of kings there were also literary references , and wide familiarity , so this usage is correct as well . uri bruck bruck @ actcom . co . il",Safe Email,no,no,"Benign content, no suspicious links/attachments, no requests for personal info.",100
"free portable dvd player offer valid only to residents of the united states who are at least 18 years old . you need to complete our offer eligibility requirements to qualify for your free gift . trademarks , service marks , logos , and / or domain names are the property of their respective owners , who have no association with or make any endorsement of the products or services provided by lookdog . com . to unsubscribe from future lookdog . com promotions and offers please submit an online req",Phishing Email,yes,yes,"Offers a free gift requiring undisclosed ""eligibility requirements"" which commonly lead to requests for personal or financial information, often without delivering the promised item. This is a common tactic in scam/phishing attempts.",85
today ' s floor meeting you may get a few pointed questions about today ' s article about lay ' s potential severance of $ 80 mm . vance meyer from pr was saying they ' ve been briefing executives who ' re having floor meetings and i told him you and lavo were having one later today too . - r,Safe Email,no,no,"Content is an internal, work-related heads-up; no suspicious links, requests for sensitive info, or urgent demands.",95
"urgent mr . johnson obipacific bank plc , 9 th floor , ikoyi estatevictoria island , lagos . i am mr . johnson obi , provincial director pacificbank of nigeria , victoria island branch . i haveurgent and very confidential business proposition foryou . on june 6 , 2002 , an american oil consultant / contractorwith the nigeria mining corporation , mr . michaelcreek made a numbered time ( fixed ) deposit fortwelve calendar months , valued at us $ 20 , 200 , 000 . 00 ( twenty million two hundred tho",Phishing Email,yes,yes,"Classic advance-fee scam (""Nigerian Prince"") leveraging urgency and a deceptive proposition to access a large sum of money.",100
"open season notices as today is the deadline for our open season responses , please make a copy of any capacity requests for me as i will consolidate them and send out a summary to the commercial group . thanks . lorraine",Safe Email,no,no,"The email content describes a plausible internal business task and requests internal data consolidation, lacking common phishing indicators such as malicious links, requests for login credentials, or obvious grammar errors.",80
"refinancing has never been so easy to remove your address and receive no future free insider software = sales , specials , or business opportunities from the net-advertiser = simply type "" remove "" in the subject . cross county funding puts dollars in your pocket for the past several years , cross country has been helping homeowners = like yourself save thousands of dollars a year on mortgage obligations . refinancing has never been so easy ! just reply by email and a member of = our professiona",Phishing Email,yes,yes,"Uses deceptive language, poor grammar, and confusing structure to solicit a reply for a suspicious financial offer.",90
"your in - home source of health information regain your confidence viagra online life grants nothing to us mortals without hard work . there is nothing to suggest that mothering cannot be shared by several people . an honest tale speeds best , being plainly told . i told you i was sick .",Phishing Email,yes,yes,"Promotes unregulated pharmaceuticals (""viagra online"") combined with unrelated filler text, characteristic of spam or scams designed to defraud.",95
">>>>> ""TP"" == Tim Peters  writes:  >> The false positive rate is 0-3%.  (Finally!  I had to scrub a
  >> bunch of previously unnoticed spam from my inbox.)  Both
  >> collections have about 1100 messages.  TP> Does this mean you trained on about 1100 of each?The total collections are 1100 messages.  I trained with 1100/5
messages.   TP> Can't guess.  You're in a good position to start adding more
  TP> headers into the analysis, though.  For example, an easy start
  TP> would be to uncomment the",Safe Email,no,no,"This is a technical discussion thread, not attempting to solicit information or deliver malware.",100
"URL: http://boingboing.net/#85481344
Date: Not suppliedAaron Swartz has written up a warchalking FAQ that addresses the shibboleths 
and paranoia about discovering, marking and using wireless connectivity.     Is that illegal?     Although I am not a lawyer, I don't think it's illegal to make chalk marks 
    on the sidewalk. I know a lot of hopscotch players who'd be worried if it 
    was...     Well, is it immoral?     Not at all! Warchalking is a helpful service to assist people in finding 
",Safe Email,no,no,"Content discusses a legitimate topic (warchalking, Aaron Swartz) and links to a well-known, legitimate website (boingboing.net). No suspicious requests, urgency, or malicious link cloaking.",95
